ID,Sample.Plate,Species,Region,Site,CollectionDate,Season,Rain,sampleName,fileName,totalSym,propA,propB,propC,propD,dom,coDom,background
urban_162 rex,Sample 6_UrbanPopgen_Plate05_6-30-23_data.csv,Mcav,Miami urban,Star Island,22-Oct,Fall,Wet,Sample 6,UrbanPopgen_Plate05_6-30-23_data.csv,1,0.6336560210642144,0,0,0.36634397893578563,A,AD,""
urban_163 rex,Sample 7_UrbanPopgen_Plate05_6-30-23_data.csv,Mcav,Miami urban,Star Island,22-Oct,Fall,Wet,Sample 7,UrbanPopgen_Plate05_6-30-23_data.csv,1,0.2301566094696106,0,3.938436986563359e-5,0.7698040061605238,D,DA,C
nmfs_011,Sample 8_UrbanPopgen_Plate05_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Jan,Winter,Dry,Sample 8,UrbanPopgen_Plate05_6-30-23_data.csv,1,1.9832041381237473e-4,0.9047002710061972,0.06074645323534572,0.03435495534464473,B,B,ACD
nmfs_012,Sample 9_UrbanPopgen_Plate05_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Jan,Winter,Dry,Sample 9,UrbanPopgen_Plate05_6-30-23_data.csv,1,0.0020625823311296474,0.9805548233661057,9.754809729685843e-6,0.017372839493035006,B,B,ACD
nmfs_014,Sample 10_UrbanPopgen_Plate05_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Jan,Winter,Dry,Sample 10,UrbanPopgen_Plate05_6-30-23_data.csv,1,0.0019376669724772682,0.5231943902610239,0,0.4748679427664989,B,BD,A
nmfs_015,Sample 11_UrbanPopgen_Plate05_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Jan,Winter,Dry,Sample 11,UrbanPopgen_Plate05_6-30-23_data.csv,1,0,1,0,0,B,B,""
nmfs_017,Sample 12_UrbanPopgen_Plate05_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Jan,Winter,Dry,Sample 12,UrbanPopgen_Plate05_6-30-23_data.csv,1,3.352145803872919e-4,0.7088257738635761,0,0.29083901155603653,B,BD,A
nmfs_036,Sample 1_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Feb,Winter,Dry,Sample 1,UrbanPopgen_Plate06_6-30-23_data.csv,1,0,1,0,0,B,B,""
nmfs_037,Sample 2_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Feb,Winter,Dry,Sample 2,UrbanPopgen_Plate06_6-30-23_data.csv,0.9999999999999999,0.0017074355637046,0.8755141592703436,0,0.12277840516595177,B,BD,A
nmfs_038,Sample 3_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Feb,Winter,Dry,Sample 3,UrbanPopgen_Plate06_6-30-23_data.csv,1,9.505201392287522e-4,0.8081411920038465,0,0.1909082878569247,B,BD,A
nmfs_041,Sample 4_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Feb,Winter,Dry,Sample 4,UrbanPopgen_Plate06_6-30-23_data.csv,1,0.0015130978524555397,0.9982278582601293,6.974972699828568e-5,1.8929416041690373e-4,B,B,ACD
nmfs_043,Sample 5_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,21-Feb,Winter,Dry,Sample 5,UrbanPopgen_Plate06_6-30-23_data.csv,0.9999999999999999,0.0015561852319262053,0.9984438147680736,0,0,B,B,A
urban_076,Sample 6_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,22-Oct,Fall,Wet,Sample 6,UrbanPopgen_Plate06_6-30-23_data.csv,1,0.013845275108094645,0.006746883669411445,0,0.9794078412224939,D,D,AB
urban_077,Sample 7_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,22-Oct,Fall,Wet,Sample 7,UrbanPopgen_Plate06_6-30-23_data.csv,0.9999999999999999,0.2537907188570537,0.2786418336821898,0,0.4675674474607564,"",ABD,""
