,Species,Region,Site,ID,Sample.Plate,CollectionDate,Season,Rain,sampleName,fileName,totalSym,propA,propB,propC,propD,dom,coDom,background
14,Mcav,Miami offshore,Emerald Reef,urban_162b,Sample 4_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 4,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.41166529,0,0.588006081,0.000328629,C,CA,D
15,Mcav,Miami offshore,Emerald Reef,urban_164,Sample 5_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 5,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.548442524,0.001197243,0.449625512,0.000734721,A,AC,BD
16,Mcav,Miami offshore,Emerald Reef,urban_165,Sample 6_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 6,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.352861993,0.000340934,0.064341464,0.582455609,D,DA,BC
17,Mcav,Miami offshore,Emerald Reef,urban_167,Sample 7_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 7,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.397050458,0.004537109,0.464755862,0.133656571,,ACD,B
18,Mcav,Miami offshore,Emerald Reef,urban_168,Sample 8_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 8,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.44819369,0,0.550783524,0.001022786,C,CA,D
19,Mcav,Miami offshore,Emerald Reef,urban_169,Sample 9_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 9,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.279520163,0.000536177,0.718788224,0.001155436,C,CA,BD
20,Mcav,Miami offshore,Emerald Reef,urban_170,Sample 10_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 10,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.398980944,0.002031883,0.598987173,0,C,CA,B
21,Mcav,Miami offshore,Emerald Reef,urban_172,Sample 11_UrbanPopgen_Plate01_6-29-23_data.csv,23-Jan,Winter,Dry,Sample 11,UrbanPopgen_Plate01_6-29-23_data.csv,1,0.337500222,0.000716025,0.653973868,0.007809885,C,CA,BD
22,Mcav,Miami offshore,Rainbow Reef,urban_313,Sample 1_UrbanPopgen_Plate02_6-29-23_data.csv,23-Jun,Summer,Wet,Sample 1,UrbanPopgen_Plate02_6-29-23_data.csv,1,0.128050906,0.000877796,0.864761871,0.006309427,C,CA,BD
23,Mcav,Miami offshore,Rainbow Reef,urban_316,Sample 2_UrbanPopgen_Plate02_6-29-23_data.csv,23-Jun,Summer,Wet,Sample 2,UrbanPopgen_Plate02_6-29-23_data.csv,1,0.303022459,0,0.695908629,0.001068911,C,CA,D
24,Mcav,Miami urban,Belle Isle,urban_255,Sample 3_UrbanPopgen_Plate02_6-29-23_data.csv,23-Apr,Spring,Dry,Sample 3,UrbanPopgen_Plate02_6-29-23_data.csv,1,0.444018228,0,0,0.555981772,D,DA,
25,Mcav,Miami urban,Belle Isle,urban_269,Sample 4_UrbanPopgen_Plate02_6-29-23_data.csv,23-Apr,Spring,Dry,Sample 4,UrbanPopgen_Plate02_6-29-23_data.csv,1,0.298403774,0,0,0.701596226,D,DA,
26,Mcav,Miami urban,Belle Isle,urban_270,Sample 5_UrbanPopgen_Plate02_6-29-23_data.csv,23-Apr,Spring,Dry,Sample 5,UrbanPopgen_Plate02_6-29-23_data.csv,1,0.318164621,0,0,0.681835379,D,DA,
27,Mcav,Miami urban,MacArthur North,M1,Sample 8_UrbanPopgen_Plate02_6-29-23_data.csv,22-Oct,Fall,Wet,Sample 8,UrbanPopgen_Plate02_6-29-23_data.csv,1,0.06637725,0,0,0.93362275,D,D,A
