,ID,Sample.Plate,Species,Region,Site,CollectionDate,Season,Rain,Depth,Symbiodinium,Breviolum,Cladocopium,Durusdinium,dom,background,totalSym,use,count
17,Peanut_046,Sample 1_UrbanPopgen_Plate82_3-31-24_data.csv,Pseu,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,1.6,0,0,0,1,D,,1,y,3
18,Peanut_053,Sample 3_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,1.6,0,0,0,1,D,0,1,y,2
19,Peanut_060,Sample 5_UrbanPopgen_Plate47_1-16-24_data.csv,Dlab,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,1.6,0,0,0,1,D,,1,n,3
20,Peanut_060,Sample 4_UrbanPopgen_Plate82_3-31-24_data.csv,Dlab,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,1.6,0,0,0,1,D,,1,y,3
21,urban_044,Sample 3_UrbanPopgen_Plate39_1-16-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,5.5,0,0,1,0,C,,1,n,3
22,urban_044,Sample 10_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,5.5,0,0,1,0,C,0,1,y,3
23,urban_045,Sample 4_UrbanPopgen_Plate39_1-16-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,5.5,0,0,1,0,C,,1,n,3
24,urban_045,Sample 11_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,5.5,0,0,1,0,C,0,1,y,3
25,urban_046,Sample 5_UrbanPopgen_Plate39_1-16-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,5.8,0,0,1,0,C,,1,n,3
26,urban_046,Sample 1_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,5.8,0,0,1,0,,,1,y,3
27,urban_050,Sample 9_UrbanPopgen_Plate39_1-16-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,6.1,0,0,1,0,C,,1,n,3
28,urban_050,Sample 2_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,6.1,0,0,1,0,C,,1,y,3
29,urban_071,Sample 6_UrbanPopgen_Plate40_1-16-24_data.csv,Mcav,Broward reef,BC1,22-Aug,Summer,Wet,7.3,0,0.1165378,0.8834622,0,C,,1,y,3
30,urban_071,Sample 7_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,BC1,22-Aug,Summer,Wet,7.3,0,0,1,0,C,,1,n,3
31,urban_222,Sample 12_UrbanPopgen_Plate33_7-17-23_data.csv,Dlab,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.6,0,0,0,1,D,,1,n,3
32,urban_222,Sample 11_UrbanPopgen_Plate34_7-17-23_data.csv,Dlab,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.6,0,0,0,1,D,,1,y,3
33,urban_293,Sample 3_UrbanPopgen_Plate43_1-18-24_data.csv,Pseu,Broward reef,T328,23-May,Spring,Dry,5.5,0,0.999434626,0.000565374,0,B,C,1,n,3
34,urban_293,Sample 2_UrbanPopgen_Plate84_3-31-24_data.csv,Pseu,Broward reef,T328,23-May,Spring,Dry,5.5,0,0.998847385,0.001152615,0,B,,1,y,3
35,urban_296,Sample 4_UrbanPopgen_Plate43_1-18-24_data.csv,Pseu,Broward reef,T328,23-May,Spring,Dry,5.2,0,0.058385112,0.007808488,0.933806399,D,BC,1,y,3
36,urban_296,Sample 3_UrbanPopgen_Plate84_3-31-24_data.csv,Pseu,Broward reef,T328,23-May,Spring,Dry,5.2,0,0.008825043,0.002936523,0.988238434,D,BC,1,n,3
37,urban_347,Sample 10_UrbanPopgen_Plate52_1-22-24_data.csv,Dlab,Miami urban,MacArthur North,23-Aug,Summer,Wet,1.2,0,0,0,1,D,,1,n,3
38,urban_347,Sample 4_UrbanPopgen_Plate84_3-31-24_data.csv,Dlab,Miami urban,MacArthur North,23-Aug,Summer,Wet,1.2,0,0,0,1,D,,1,y,3
39,urban_348,Sample 9_UrbanPopgen_Plate52_1-22-24_data.csv,Dlab,Miami urban,MacArthur North,23-Aug,Summer,Wet,0.9,0,0,0,1,D,,1,n,3
40,urban_348,Sample 5_UrbanPopgen_Plate84_3-31-24_data.csv,Dlab,Miami urban,MacArthur North,23-Aug,Summer,Wet,0.9,0,0,0.669365261,0.330634739,C,,1,y,3
41,urban_396,Sample 4_UrbanPopgen_Plate54_1-23-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.5,0,0,1,0,C,,1,n,3
42,urban_396,Sample 8_UrbanPopgen_Plate84_3-31-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.5,0,0,0.998750201,0.001249799,C,,1,y,3
43,urban_397,Sample 5_UrbanPopgen_Plate54_1-23-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.5,0,0.013412235,0.837708119,0.148879647,C,B,1,n,3
44,urban_397,Sample 9_UrbanPopgen_Plate84_3-31-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.5,0,0.002889683,0.936732758,0.060377559,C,,1,y,3
45,urban_401,Sample 4_UrbanPopgen_Plate63_3-24-24_data.csv,Pseu,Miami urban,Seaquarium,24-Jan,Winter,Dry,1.2,0,0,0,1,D,,1,n,3
46,urban_401,Sample 5_UrbanPopgen_Plate64_3-24-24_data.csv,Pseu,Miami urban,Seaquarium,24-Jan,Winter,Dry,1.2,0,0,0,1,,,1,y,3
47,urban_408,Sample 7_UrbanPopgen_Plate53_1-23-24_data.csv,Pseu,North Miami reef,South Canyon,24-Jan,Winter,Dry,4.9,0,0.999998175,1.82E-06,0,B,C,1,n,3
48,urban_408,Sample 10_UrbanPopgen_Plate84_3-31-24_data.csv,Pseu,North Miami reef,South Canyon,24-Jan,Winter,Dry,4.9,0,0.999924828,7.52E-05,0,B,C,1,y,3
49,urban_414,Sample 11_UrbanPopgen_Plate53_1-23-24_data.csv,Pseu,North Miami reef,South Canyon,24-Jan,Winter,Dry,5.2,0,0.053419569,0,0.946580431,D,B,1,y,3
50,urban_414,Sample 11_UrbanPopgen_Plate84_3-31-24_data.csv,Pseu,North Miami reef,South Canyon,24-Jan,Winter,Dry,5.2,0,0.024135266,0,0.975864734,D,B,1,n,3
51,urban_417,Sample 1_UrbanPopgen_Plate54_1-23-24_data.csv,Pseu,North Miami reef,Pillars,24-Jan,Winter,Dry,9.8,0,0.999687558,0,0.000312442,B,D,1,y,3
52,urban_417,Sample 2_UrbanPopgen_Plate57_1-24-24_data.csv,Pseu,North Miami reef,Pillars,24-Jan,Winter,Dry,9.8,0,0.999992801,7.20E-06,0,B,C,1,n,3
53,urban_430,Sample 3_UrbanPopgen_Plate56_1-24-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.8,0,0.005766806,0.994233194,0,C,B,1,y,3
54,urban_430,Sample 5_UrbanPopgen_Plate87_4-3-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.8,0,0.002330541,0.997669459,0,,,1,n,3
55,urban_451,Sample 4_UrbanPopgen_Plate58-1-24-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.8,0,0,1,0,C,,1,n,3
56,urban_451,Sample 3_UrbanPopgen_Plate85_3-31-24_data.csv,Mcav,North Miami reef,Graceland,24-Jan,Winter,Dry,5.8,0,0,0.335168995,0.664831005,,,1,y,3
57,urban_456,Sample 9_UrbanPopgen_Plate55_1-24-24_data.csv,Pseu,Miami urban,Miami Beach Marina,24-Jan,Winter,Dry,2,0,0.999829113,0,0.000170887,B,D,1,y,3
58,urban_456,Sample 5_UrbanPopgen_Plate85_3-31-24_data.csv,Pseu,Miami urban,Miami Beach Marina,24-Jan,Winter,Dry,2,0,1,0,0,,,1,n,3
59,urban_475,Sample 6_UrbanPopgen_Plate63_3-24-24_data.csv,Pseu,Miami urban,Coral City Camera,24-Jan,Winter,Dry,2.1,0,0.999563842,0,0.000436158,B,D,1,n,3
60,urban_475,Sample 7_UrbanPopgen_Plate64_3-24-24_data.csv,Pseu,Miami urban,Coral City Camera,24-Jan,Winter,Dry,2.1,0,0.01067702,0.012574632,0.976748348,,,1,y,3
61,urban_498,Sample 7_UrbanPopgen_Plate63_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.5,0,0,0.08422042,0.91577958,D,C,1,y,3
62,urban_498,Sample 8_UrbanPopgen_Plate64_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.5,0,0,0,0,,,0,n,3
63,urban_515,Sample 9_UrbanPopgen_Plate63_3-24-24_data.csv,Pseu,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.5,0,0.976814924,0,0.023185076,B,,1,y,3
64,urban_515,Sample 10_UrbanPopgen_Plate64_3-24-24_data.csv,Pseu,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.5,0,0,0,0,,,0,n,3
65,urban_523,Sample 10_UrbanPopgen_Plate63_3-24-24_data.csv,Pseu,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.7,0,0.998844006,0.001155994,0,,,1,y,3
66,urban_523,Sample 11_UrbanPopgen_Plate64_3-24-24_data.csv,Pseu,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.7,0,0,0,1,,,1,n,3
67,urban_533,Sample 11_UrbanPopgen_Plate63_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,0.3,0,0,0.000385922,0.999614078,D,,1,y,3
68,urban_533,Sample 12_UrbanPopgen_Plate64_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,0.3,0,0,0,1,,,1,n,3
69,urban_540,Sample 12_UrbanPopgen_Plate62_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.8,0,0,0,1,D,0,1,y,3
70,urban_540,Sample 1_UrbanPopgen_Plate64_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.8,0,0,0,1,D,,1,n,3
71,urban_548,Sample 1_UrbanPopgen_Plate63_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.5,0,0,0.002700202,0.997299798,D,,1,y,3
72,urban_548,Sample 2_UrbanPopgen_Plate64_3-24-24_data.csv,Dlab,Miami urban,Coral City Camera,24-Jan,Winter,Dry,1.5,0,0,0.575010189,0.424989811,,,1,n,3
73,urban_671,Sample 12_UrbanPopgen_Plate85_3-31-24_data.csv,Dlab,Palm Beach urban,Peanut Island,24-Jan,Winter,Dry,1.8,0,0,0,1,,,1,n,2
74,urban_671,Sample 8_UrbanPopgen_Plate87_4-3-24_data.csv,Dlab,Palm Beach urban,Peanut Island,24-Jan,Winter,Dry,1.8,0,0,0,1,D,0,1,y,2
