,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,Depth,propA,propB,propC,propD,dom,background,totalSym,failed
41,reps,Sample 1,UrbanPopgen_Plate21_7-10-23_data.csv,33.222929,22.80223275,NA,NA,3.324675583,0.043352582,NA,NA,2,2,0,0,8.11E-05,0,0,12336.29249,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate21_7-10-23_data.csv,OS18 rex,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,6.7,0,1,0,0,B,,1,n
42,reps,Sample 10,UrbanPopgen_Plate21_7-10-23_data.csv,25.70009995,22.14038277,35.76299095,NA,0.332594611,0.304288109,3.968717193,NA,2,2,2,0,0.00942271,2733.489199,0,106.126577,290095.8519,0,0.000365833,3.45E-06,0,0,0,0,Sample 10_UrbanPopgen_Plate21_7-10-23_data.csv,urban_111,Pseu,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,6.1,0.009334752,0.990665248,0,0,B,A,1,n
43,reps,Sample 11,UrbanPopgen_Plate21_7-10-23_data.csv,32.58802414,21.00290776,33.3599453,NA,1.444273365,0.181692707,0.793550302,NA,2,2,2,0,3.62E-05,4.363718733,0,27650.94922,120660.9651,0,0.229162341,8.29E-06,0,0,0,0,Sample 11_UrbanPopgen_Plate21_7-10-23_data.csv,urban_311,Pseu,Miami reef,Rainbow Reef,23-Jun,Summer,Wet,4.6,3.62E-05,0.999955549,8.29E-06,0,B,AC,1,n
45,reps,Sample 2,UrbanPopgen_Plate21_7-10-23_data.csv,21.34202099,22.33849335,32.82228088,32.63999939,0.012630568,0.154687698,NA,NA,2,2,1,1,0.221679514,0,0,4.511016745,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate21_7-10-23_data.csv,OS19 rex2,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,6.7,0.18145472,0.81854528,0,0,B,,1,n
46,reps,Sample 3,UrbanPopgen_Plate21_7-10-23_data.csv,27.05337525,20.58487702,32.09430599,NA,0.169628588,0.245940683,1.00052033,NA,2,2,2,0,0.001254716,84.13112317,0,796.9929937,67051.91572,0,0.011886208,1.49E-05,0,0,0,0,Sample 3_UrbanPopgen_Plate21_7-10-23_data.csv,OS20 rex,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,6.1,0.001253125,0.99873198,1.49E-05,0,B,AC,1,n
47,reps,Sample 4,UrbanPopgen_Plate21_7-10-23_data.csv,33.11377716,NA,NA,20.38199521,0.297722643,NA,NA,0.577627617,2,0,0,2,0,0,4.90E-05,0,0,0,0,0,0,20406.54689,0,0,Sample 4_UrbanPopgen_Plate21_7-10-23_data.csv,urban_092,Pseu,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,8.5,4.90E-05,0,0,0.999950999,D,A,1,n
50,reps,Sample 7,UrbanPopgen_Plate21_7-10-23_data.csv,25.86426735,NA,NA,23.08315087,0.02444652,NA,NA,0.301954854,2,0,0,2,0,0,0.048493023,0,0,0,0,0,0,20.62152306,0,0,Sample 7_UrbanPopgen_Plate21_7-10-23_data.csv,urban_108,Pseu,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,5.5,0.046250211,0,0,0.953749789,D,A,1,n
53,reps,Sample 1,UrbanPopgen_Plate22_7-10-23_data.csv,35.01530838,20.93895912,32.6199646,NA,4.285788272,0.259897027,NA,NA,2,2,1,0,6.43E-06,0,0,155469.7378,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate22_7-10-23_data.csv,urban_315,Pseu,Miami reef,Rainbow Reef,23-Jun,Summer,Wet,1.8,0,1,0,0,B,,1,n
57,reps,Sample 3,UrbanPopgen_Plate22_7-10-23_data.csv,32.84705353,21.58573342,34.80585575,32.47620773,2.890192153,0.150236991,5.414022312,NA,2,2,2,1,4.53E-05,9.934443642,0,22092.13329,219473.0531,0,0.10065989,4.56E-06,0,0,0,0,Sample 3_UrbanPopgen_Plate22_7-10-23_data.csv,urban_319,Pseu,Miami reef,Rainbow Reef,23-Jun,Summer,Wet,4.9,0,1,0,0,B,,1,n
58,reps,Sample 4,UrbanPopgen_Plate22_7-10-23_data.csv,32.81873512,31.55187035,NA,21.76028729,1.191136024,NA,NA,0.335506449,2,1,0,2,0,0,0.000156298,0,0,0,0,0,0,6398.022434,0,0,Sample 4_UrbanPopgen_Plate22_7-10-23_data.csv,urban_211,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.3,0.000156,0,0,0.999843726,D,A,1,n
60,reps,Sample 6,UrbanPopgen_Plate22_7-10-23_data.csv,31.84996891,NA,NA,23.37732125,1.396614382,NA,NA,0.158172737,2,0,0,2,0,0,0.000938334,0,0,0,0,0,0,1065.718107,0,0,Sample 6_UrbanPopgen_Plate22_7-10-23_data.csv,urban_215,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.6,0.000937,0,0,0.999062545,D,A,1,n
61,reps,Sample 7,UrbanPopgen_Plate22_7-10-23_data.csv,29.16927433,33.30500031,NA,23.05669022,0.072852688,NA,NA,0.271323201,2,1,0,2,0,0,0.004817343,0,0,0,0,0,0,207.583306,0,0,Sample 7_UrbanPopgen_Plate22_7-10-23_data.csv,urban_216,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.3,0.004794248,0,0,0.995205752,D,A,1,n
62,reps,Sample 8,UrbanPopgen_Plate22_7-10-23_data.csv,34.5375824,NA,NA,22.98827172,0.187150892,NA,NA,0.232051777,2,0,0,2,0,0,0.000111222,0,0,0,0,0,0,8991.045566,0,0,Sample 8_UrbanPopgen_Plate22_7-10-23_data.csv,urban_217,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.6,0.000111,0,0,0.999888791,D,A,1,n
63,reps,Sample 9,UrbanPopgen_Plate22_7-10-23_data.csv,30.66321945,34.26812744,NA,23.90891266,0.018525731,NA,NA,0.579344508,2,1,0,2,0,0,0.003087662,0,0,0,0,0,0,323.8696101,0,0,Sample 9_UrbanPopgen_Plate22_7-10-23_data.csv,urban_218,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.9,0.003078158,0,0,0.996921842,D,A,1,n
66,reps,Sample 11,UrbanPopgen_Plate23_7-11-23_data.csv,30.31107998,NA,NA,26.1257,1.457920851,NA,NA,0.22507631,2,0,0,2,0,0,0.018321196,0,0,0,0,0,0,54.58158882,0,0,Sample 11_UrbanPopgen_Plate23_7-11-23_data.csv,urban_235,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.7,0.017991569,0,0,0.982008431,D,A,1,n
67,reps,Sample 12,UrbanPopgen_Plate23_7-11-23_data.csv,32.81291771,NA,34.71415139,23.48105049,2.099080294,NA,0.290329071,0.303624552,2,0,2,2,0,9.545829905,0.000517258,0,0,0,0.104757785,0,5.42E-05,1933.273079,0,18454.69598,Sample 12_UrbanPopgen_Plate23_7-11-23_data.csv,urban_236,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.5,0,0,5.42E-05,0.999945816,D,C,1,n
71,reps,Sample 5,UrbanPopgen_Plate23_7-11-23_data.csv,26.78713703,36.61098862,NA,22.44419956,0.170625276,NA,NA,0.12295416,2,1,0,2,0,0,0.016425716,0,0,0,0,0,0,60.88014841,0,0,Sample 5_UrbanPopgen_Plate23_7-11-23_data.csv,urban_228,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.6,0.016160272,0,0,0.983839728,D,A,1,n
72,reps,Sample 6,UrbanPopgen_Plate23_7-11-23_data.csv,35.51570702,39.91114807,NA,22.82772064,0.047363617,NA,NA,0.130489344,2,1,0,2,0,0,5.05E-05,0,0,0,0,0,0,19796.37802,0,0,Sample 6_UrbanPopgen_Plate23_7-11-23_data.csv,urban_229,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.6,5.05E-05,0,0,0.999949488,D,A,1,n
73,reps,Sample 7,UrbanPopgen_Plate23_7-11-23_data.csv,29.36368275,37.29235458,NA,24.5731926,0.28189835,NA,NA,0.271164059,2,1,0,2,0,0,0.012044742,0,0,0,0,0,0,83.02377642,0,0,Sample 7_UrbanPopgen_Plate23_7-11-23_data.csv,urban_230,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.3,0.011901393,0,0,0.988098607,D,A,1,n
74,reps,Sample 8,UrbanPopgen_Plate23_7-11-23_data.csv,31.73622418,38.44294357,NA,22.46558285,0.249154639,NA,NA,0.130032129,2,1,0,2,0,0,0.000539682,0,0,0,0,0,0,1852.944334,0,0,Sample 8_UrbanPopgen_Plate23_7-11-23_data.csv,urban_232,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,1.2,0.000539,0,0,0.999460609,D,A,1,n
78,reps,Sample 11,UrbanPopgen_Plate24_7-11-23_data.csv,31.9642725,31.59070396,NA,21.5671568,1.98574775,NA,NA,0.426977923,2,1,0,2,0,0,0.000247192,0,0,0,0,0,0,4045.432418,0,0,Sample 11_UrbanPopgen_Plate24_7-11-23_data.csv,nmfs_030,Pseu,Miami urban,MacArthur North,21-Jan,Winter,Dry,0.9,0,0,0,1,D,,1,n
83,reps,Sample 6,UrbanPopgen_Plate24_7-11-23_data.csv,26.02025795,NA,NA,23.20951176,0.533442883,NA,NA,0.030026087,2,0,0,2,0,0,0.047507243,0,0,0,0,0,0,21.04942167,0,0,Sample 6_UrbanPopgen_Plate24_7-11-23_data.csv,urban_244,Pseu,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.8,0.045352663,0,0,0.954647337,D,A,1,n
85,reps,Sample 8,UrbanPopgen_Plate24_7-11-23_data.csv,36.50018692,38.39707565,33.69980621,21.43459988,0.965819644,NA,NA,0.262272078,2,1,1,2,0,0,9.72E-06,0,0,0,0,0,0,102876.1866,0,0,Sample 8_UrbanPopgen_Plate24_7-11-23_data.csv,nmfs_027,Pseu,Miami urban,MacArthur North,21-Jan,Winter,Dry,0.9,0,0,0,1,D,,1,n
86,reps,Sample 9,UrbanPopgen_Plate24_7-11-23_data.csv,26.74671364,33.5002327,32.45192719,20.91222096,0.022917097,NA,NA,0.405687362,2,1,1,2,0,0,0.00584146,0,0,0,0,0,0,171.1900666,0,0,Sample 9_UrbanPopgen_Plate24_7-11-23_data.csv,nmfs_028,Pseu,Miami urban,MacArthur North,21-Jan,Winter,Dry,1.2,0.005807536,0,0,0.994192464,D,A,1,n
88,reps,Sample 10,UrbanPopgen_Plate25_7-11-23_data.csv,35.4809742,33.71690369,NA,20.68297959,1.753290016,NA,NA,0.060297647,2,1,0,2,0,0,1.17E-05,0,0,0,0,0,0,85459.72865,0,0,Sample 10_UrbanPopgen_Plate25_7-11-23_data.csv,UR18 rex2,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.6,0,0,0,1,D,,1,n
91,reps,Sample 2,UrbanPopgen_Plate25_7-11-23_data.csv,28.90224839,32.91199112,32.29690266,21.29689408,0.089418751,NA,1.251019618,0.127004305,2,1,2,2,0,26.87683262,0.001711745,0,0,0,0.037206765,0,6.37E-05,584.1992965,0,15701.42671,Sample 2_UrbanPopgen_Plate25_7-11-23_data.csv,UR10 rex,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0.001708711,0,6.36E-05,0.998227713,D,AC,1,n
