ID,Sample.Plate,Species,Region,Site,CollectionDate,Season,Rain,Depth
urban_082,Sample 10_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami reef,Emerald Reef,Oct-22,Fall,Wet,7.6
urban_084,Sample 11_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami reef,Emerald Reef,Oct-22,Fall,Wet,7.9
nmfs_017,Sample 12_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami reef,Emerald Reef,Jan-21,Winter,Dry,6.4
urban_087,Sample 1_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Oct-22,Fall,Wet,7
urban_088,Sample 2_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Oct-22,Fall,Wet,7.3
urban_089,Sample 3_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Oct-22,Fall,Wet,7.3
urban_158b,Sample 4_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.3
urban_159b,Sample 5_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.3
urban_161b,Sample 6_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.3
urban_163b,Sample 7_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.3
urban_166,Sample 8_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Emerald Reef,Jan-23,Winter,Dry,7.5
nmfs_001 cc5,Sample 9_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Rainbow Reef,Jan-21,Winter,Dry,7
nmfs_002,Sample 10_UrbanPopgen_Plate07_7-3-23_data.csv,Ofav,Miami reef,Rainbow Reef,Jan-21,Winter,Dry,6.7
