Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate53_1-23-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-23 16:06:42 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,38.80568695,38.80568695,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,35.65018463,35.12172318,0.7473573685,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,38.32329559,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,35.90435028,35.90435028,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,38.80568695,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,34.59326172,35.12172318,0.7473573685,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,38.32329559,38.32329559,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,35.90435028,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
G1,Sample 1,D,UNKNOWN,SYBR,None,34.42861938,35.13742828,1.002404451,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
G3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,34.15263748,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,38.95999908,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
