Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate40_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 19:16:13 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL,MTP
D7,Sample 7,B,UNKNOWN,SYBR,None,31.26361847,32.0146637,1.062138319,,,,FALSE,0.1,TRUE,3,28,79.11959839,,,,Y,N,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.3476944,73.59388733,,,N,N,N,Y,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,19,61.49652863,,,,N,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.3471756,68.0680542,,,N,N,N,Y,Y
D11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,36.88645935,,,,,FALSE,0.1,TRUE,3,38,79.86456299,,,,N,N,N,Y,N
D12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,79.86456299,,,,N,N,N,Y,N
E1,Sample 1,C,UNKNOWN,SYBR,None,21.56999779,21.77224159,0.286015928,,,,FALSE,0.1,TRUE,3,18,81.20980835,,,,N,N,N,N,N
E2,Sample 2,C,UNKNOWN,SYBR,None,24.3813591,23.14145279,1.753492355,,,,FALSE,0.1,TRUE,3,20,80.76178741,,,,Y,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,20.28931046,20.02322769,0.37629649,,,,FALSE,0.1,TRUE,3,17,81.21165466,,,,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,20.22808647,20.19535637,0.046287354,,,,FALSE,0.1,TRUE,3,17,81.21165466,,,,N,N,N,N,N
