Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate45_1-19-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.3645401,,,,N,Y,Y,N
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,66.8709259,,,,N,Y,Y,N
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.16898346,,,,N,N,Y,N
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.76635742,,,,N,Y,Y,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,62.69076538,,,,N,Y,Y,N
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49611282,,,,N,Y,Y,N
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.76576233,,,,N,Y,Y,N
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.91513062,,,,N,Y,Y,N
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.2155838,,,,N,Y,Y,N
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.76750946,,,,N,Y,Y,N
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19842148,,,,N,N,Y,N
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.47174072,,,,N,Y,Y,N
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.91645813,,,,N,Y,Y,N
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.96198273,,,,N,Y,Y,N
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04590225,,,,N,N,Y,N
F12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49393463,,,,N,Y,Y,N
G1,Sample 1,D,UNKNOWN,SYBR,None,36.66977692,34.63132477,2.882809401,,,,FALSE,0.1,TRUE,3,32,80.01319885,,,,Y,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,62.39210129,,,,N,Y,Y,N
G3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.79094315,,,,N,Y,Y,N
G4,Sample 4,D,UNKNOWN,SYBR,None,27.89941597,27.94936752,0.070643514,,,,FALSE,0.1,TRUE,3,23,80.16350555,,,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,33.51792145,,,,,FALSE,0.1,TRUE,3,39,68.51430511,,,,N,Y,Y,N
G6,Sample 6,D,UNKNOWN,SYBR,None,28.21860695,28.20942688,0.012982578,,,,FALSE,0.1,TRUE,3,24,80.01486206,,,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,28.89428329,28.84505653,0.069617152,,,,FALSE,0.1,TRUE,3,25,80.01838684,,,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,31.42666245,30.85812378,0.804035068,,,,FALSE,0.1,TRUE,3,27,80.01838684,,,,Y,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,28.49993324,28.55198479,0.073611997,,,,FALSE,0.1,TRUE,3,24,80.16408539,,,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,32.3953476,31.7465477,0.917542934,,,,FALSE,0.1,TRUE,3,28,80.16408539,,,,Y,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,26.88939095,26.82907104,0.085303873,,,,FALSE,0.1,TRUE,3,22,80.16184998,,,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,27.66836739,27.53189468,0.193001553,,,,FALSE,0.1,TRUE,3,24,80.16184998,,,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,32.5928688,34.63132477,2.882809401,,,,FALSE,0.1,TRUE,3,28,80.16252899,,,,Y,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34678268,,,,N,Y,Y,N
H3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,69.11009216,,,,N,Y,Y,N
H4,Sample 4,D,UNKNOWN,SYBR,None,27.99932098,27.94936752,0.070643514,,,,FALSE,0.1,TRUE,3,24,80.16350555,,,,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,33.51792145,33.51792145,,,,,FALSE,0.1,TRUE,3,29,80.16422272,,,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,28.20024681,28.20942688,0.012982578,,,,FALSE,0.1,TRUE,3,24,80.16422272,,,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,28.79582977,28.84505653,0.069617152,,,,FALSE,0.1,TRUE,3,25,80.1677475,,,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,30.28958511,30.85812378,0.804035068,,,,FALSE,0.1,TRUE,3,26,80.1677475,,,,Y,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,28.60403633,28.55198479,0.073611997,,,,FALSE,0.1,TRUE,3,24,80.31344604,,,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,31.0977459,31.7465477,0.917542934,,,,FALSE,0.1,TRUE,3,27,80.31344604,,,,Y,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,26.76875305,26.82907104,0.085303873,,,,FALSE,0.1,TRUE,3,22,80.16184998,,,,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,27.39542198,27.53189468,0.193001553,,,,FALSE,0.1,TRUE,3,23,80.16184998,,,,N,N,N,N
