Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate44_1-18-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-18 17:48:52 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL,MTP
D8,Sample 8,B,UNKNOWN,SYBR,None,29.64834404,29.49179077,0.221398413,,,,FALSE,0.1,TRUE,3,26,79.269104,,,,N,N,N,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,22.21599579,22.17392349,0.05950056,,,,FALSE,0.1,TRUE,3,19,78.67116547,,,,N,N,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,23.3365345,23.5403595,0.288253427,,,,FALSE,0.1,TRUE,3,19,79.11917877,,,,N,N,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,20.45072556,20.25772476,0.27294299,,,,FALSE,0.1,TRUE,3,18,79.12026978,,,,N,N,N,N,N,N
D12,Sample 12,B,UNKNOWN,SYBR,None,21.43910217,21.39776993,0.05845397,,,,FALSE,0.1,TRUE,3,17,78.67221069,,,,N,N,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,38.87513733,38.87513733,,,,,FALSE,0.1,TRUE,3,35,82.10578918,,,,N,N,N,N,N,N
E2,Sample 2,C,UNKNOWN,SYBR,None,32.66505814,32.66505814,,,,,FALSE,0.1,TRUE,3,29,81.06010437,,,,N,N,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,20.6330452,20.55781364,0.106393479,,,,FALSE,0.1,TRUE,3,17,81.21165466,,,,N,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,32.02633286,32.39514923,0.521587789,,,,FALSE,0.1,TRUE,3,29,81.21165466,,,,Y,N,N,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,33.59778214,33.16962814,0.605501175,,,,FALSE,0.1,TRUE,3,30,81.05819702,,,,Y,N,N,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,31.38592529,31.81463051,0.606280744,,,,FALSE,0.1,TRUE,3,27,81.05819702,,,,Y,N,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,36.59458542,,,,,FALSE,0.1,TRUE,3,39,74.48995972,82.40541077,,,N,N,N,N,Y,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,37.21821594,36.94248962,0.389933199,,,,FALSE,0.1,TRUE,3,33,80.91192627,,,,N,N,N,N,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,78.969841,73.89237213,,,N,Y,N,N,Y,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,34.99113464,35.1529007,0.228771746,,,,FALSE,0.1,TRUE,3,30,80.91122437,,,,N,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,32.38848495,32.11400604,0.388171792,,,,FALSE,0.1,TRUE,3,30,80.91252899,,,,N,N,N,N,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,32.56441498,33.46383667,1.271974325,,,,FALSE,0.1,TRUE,3,29,80.91252899,,,,Y,N,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,38.87513733,,,,,FALSE,0.1,TRUE,3,39,67.91433716,61.34145355,,,N,N,N,N,Y,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,32.66505814,,,,,FALSE,0.1,TRUE,3,39,67.16741943,61.19207001,,,N,Y,N,N,Y,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,20.48258209,20.55781364,0.106393479,,,,FALSE,0.1,TRUE,3,17,81.36102295,,,,N,N,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,32.76396942,32.39514923,0.521587789,,,,FALSE,0.1,TRUE,3,29,81.21165466,,,,Y,N,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,32.74147415,33.16962814,0.605501175,,,,FALSE,0.1,TRUE,3,29,81.05819702,,,,Y,N,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,32.24333572,31.81463051,0.606280744,,,,FALSE,0.1,TRUE,3,29,81.05819702,,,,Y,N,N,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,36.59458542,36.59458542,,,,,FALSE,0.1,TRUE,3,32,80.91192627,,,,N,N,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,36.66676712,36.94248962,0.389933199,,,,FALSE,0.1,TRUE,3,33,80.91192627,,,,N,N,N,N,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,81.80725098,73.44435883,,,N,N,N,N,Y,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,35.31466675,35.1529007,0.228771746,,,,FALSE,0.1,TRUE,3,31,81.06056213,,,,N,N,N,N,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,31.83952713,32.11400604,0.388171792,,,,FALSE,0.1,TRUE,3,28,80.91252899,,,,N,N,N,N,N,N
F12,Sample 12,C,UNKNOWN,SYBR,None,34.36325836,33.46383667,1.271974325,,,,FALSE,0.1,TRUE,3,31,80.91252899,,,,Y,N,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,22.92301369,23.11174011,0.266898125,,,,FALSE,0.1,TRUE,3,19,80.31318665,,,,N,N,N,N,N,N
