Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate67_3-24-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-25 01:40:15 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,33.19684219,33.19684219,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,30.92819023,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,33.19684219,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F12,Sample 12,C,UNKNOWN,SYBR,None,30.92819023,30.92819023,,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,23.76671028,23.92891312,0.229388103,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,25.32122612,25.35859489,0.052847426,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,25.29191971,25.41488647,0.173902616,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G5,Sample 5,D,UNKNOWN,SYBR,None,27.891325,28.39783478,0.716313004,,,,FALSE,0.1,TRUE,3,24,,Y,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,23.70072746,23.73840332,0.05328171,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,22.76078033,22.81981277,0.08348313,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,24.85888672,24.80345345,0.078394488,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,24.02293777,23.97296524,0.070671834,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,24.95326805,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G11,Sample 11,D,UNKNOWN,SYBR,None,24.89343643,24.64593315,0.350022495,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,28.97223473,29.26210022,0.40993306,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,24.09111404,23.92891312,0.229388103,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,25.39596367,25.35859489,0.052847426,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,25.53785515,25.41488647,0.173902616,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
H5,Sample 5,D,UNKNOWN,SYBR,None,28.90434456,28.39783478,0.716313004,,,,FALSE,0.1,TRUE,3,25,,Y,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,23.77607918,23.73840332,0.05328171,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,22.87884331,22.81981277,0.08348313,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,24.74802017,24.80345345,0.078394488,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,23.92299271,23.97296524,0.070671834,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,24.95326805,24.95326805,,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,24.39842987,24.64593315,0.350022495,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,29.55196762,29.26210022,0.40993306,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
