Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate42_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-17 14:36:45 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOISE,SPIKE,EXPFAIL,MTP
E12,,C,NTC,SYBR,None,Undetermined,,,,,,TRUE,0.039755462,TRUE,3,39,68.3680954,,,,N,N,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,34.66597366,34.66597366,,,,,TRUE,0.039755462,TRUE,3,32,81.05923462,,,,N,N,N,N,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,32.86152649,34.99372864,3.015386581,,,,TRUE,0.039755462,TRUE,3,32,80.90987396,,,,N,Y,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,19.89068222,19.8066597,0.118824445,,,,TRUE,0.039755462,TRUE,3,18,81.21030426,,,,N,N,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,33.01140213,33.01140213,,,,,TRUE,0.039755462,TRUE,3,31,81.21030426,,,,N,N,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,31.94758797,32.86086655,1.291569591,,,,TRUE,0.039755462,TRUE,3,29,80.9119873,,,,N,Y,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,31.12069511,30.39063454,1.032461524,,,,TRUE,0.039755462,TRUE,3,29,81.06130981,,,,N,Y,N,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,30.68117142,30.47587395,0.290334463,,,,TRUE,0.039755462,TRUE,3,28,81.0594635,,,,N,N,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,31.31084824,31.55587387,0.346518576,,,,TRUE,0.039755462,TRUE,3,28,81.0594635,,,,N,N,N,N,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.039755462,TRUE,3,36,61.79233551,,,,N,N,N,N,N,N
