Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate33_7-17-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-17 14:59:07 PM PDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,N,Y,N
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.7703476,61.94686127,79.71596527,,N,N,Y,Y
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04421997,,,,N,Y,Y,N
F2,Sample 2,C,UNKNOWN,SYBR,None,31.87851524,32.21828842,0.480510473,,,,FALSE,0.1,TRUE,3,28,80.9072876,,,,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,19.51669884,19.48167419,0.049532324,,,,FALSE,0.1,TRUE,3,16,81.05897522,,,,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,23.14009857,23.02616119,0.161131784,,,,FALSE,0.1,TRUE,3,20,81.05897522,,,,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,61.34718704,81.80563354,,,N,N,Y,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,37.05485153,,,,,FALSE,0.1,TRUE,3,39,61.04852295,,,,N,N,Y,N
F7,Sample 7,C,UNKNOWN,SYBR,None,35.83149719,35.97744751,0.206404924,,,,FALSE,0.1,TRUE,3,32,80.91148376,,,,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,31.41635323,31.87887573,0.654106975,,,,FALSE,0.1,TRUE,3,28,80.91148376,,,,Y,N,N,N
