Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate8_7-3-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-03 20:10:47 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
G8,Sample 8,D,UNKNOWN,SYBR,None,22.16731453,22.28770828,0.17026113,,,,FALSE,0.1,TRUE,3,19,80.31307983,,,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,24.39813042,24.60003281,0.2855331,,,,FALSE,0.1,TRUE,3,21,80.31324005,,,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,23.35893059,23.19157028,0.236684561,,,,FALSE,0.1,TRUE,3,20,80.31324005,,,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,33.23731232,33.23731232,,,,,FALSE,0.1,TRUE,3,29,80.01473236,,,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,22.13618279,22.13618279,,,,,FALSE,0.1,TRUE,3,18,80.31340027,,,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,24.97874832,24.68665695,0.413080931,,,,FALSE,0.1,TRUE,3,20,80.46353149,,,,N,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,30.66142845,30.19378853,0.66134274,,,,FALSE,0.1,TRUE,3,27,80.16487122,,,,Y,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,20.66359711,20.62009811,0.061516866,,,,FALSE,0.1,TRUE,3,16,80.61079407,,,,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,33.71208191,,,,,FALSE,0.1,TRUE,3,39,67.61684418,61.49325562,,,N,N,Y,Y
H5,Sample 5,D,UNKNOWN,SYBR,None,21.72808266,21.45491791,0.386311948,,,,FALSE,0.1,TRUE,3,17,80.46188354,,,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,20.67749977,20.6288929,0.068740502,,,,FALSE,0.1,TRUE,3,17,80.46188354,,,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,29.13426399,28.86090279,0.386591136,,,,FALSE,0.1,TRUE,3,25,80.16375732,,,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,22.40810013,22.28770828,0.17026113,,,,FALSE,0.1,TRUE,3,19,80.31307983,,,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,24.8019352,24.60003281,0.2855331,,,,FALSE,0.1,TRUE,3,21,80.4626236,,,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,23.02420807,23.19157028,0.236684561,,,,FALSE,0.1,TRUE,3,19,80.4626236,,,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,33.23731232,,,,,FALSE,0.1,TRUE,3,39,68.96386719,61.64639664,,,N,N,Y,Y
H12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,69.11319733,,,,N,N,N,N
