Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate41_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-17 12:33:01 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL,MTP
E2,Sample 2,C,UNKNOWN,SYBR,None,25.32153893,25.36951065,0.067842267,,,,TRUE,0.612582629,TRUE,3,19,81.0599823,,,,N,N,N,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,24.05410385,24.00996399,0.062423192,,,,TRUE,0.612582629,TRUE,3,17,81.20819855,,,,N,N,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,24.36930275,24.21006012,0.225201741,,,,TRUE,0.612582629,TRUE,3,18,81.20819855,,,,N,N,N,N,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,23.84061241,23.90928841,0.09712252,,,,TRUE,0.612582629,TRUE,3,18,81.05638885,,,,N,N,N,N,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,24.11755562,24.5358181,0.591512501,,,,TRUE,0.612582629,TRUE,3,17,81.05638885,,,,N,Y,N,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,25.33811951,25.32336617,0.020864377,,,,TRUE,0.612582629,TRUE,3,19,81.0553894,,,,N,N,N,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,25.22467804,25.38150024,0.221781433,,,,TRUE,0.612582629,TRUE,3,18,81.0553894,,,,N,N,N,N,N,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,25.76540184,25.73910522,0.037189029,,,,TRUE,0.612582629,TRUE,3,19,81.05857086,,,,N,N,N,N,N,N,N
E10,Sample 10,C,UNKNOWN,SYBR,None,25.38956833,25.15863609,0.326587498,,,,TRUE,0.612582629,TRUE,3,18,81.05857086,,,,N,N,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,26.00016785,26.03534889,0.049753513,,,,TRUE,0.612582629,TRUE,3,19,80.90989685,,,,N,N,N,N,N,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,25.08867836,24.64317703,0.630034029,,,,TRUE,0.612582629,TRUE,3,18,80.90989685,,,,N,Y,N,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,27.64088821,28.00242996,0.511297226,,,,TRUE,0.612582629,TRUE,3,22,81.20932007,,,,N,Y,N,N,N,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,25.41748238,25.36951065,0.067842267,,,,TRUE,0.612582629,TRUE,3,19,81.0599823,,,,N,N,N,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,23.96582413,24.00996399,0.062423192,,,,TRUE,0.612582629,TRUE,3,18,81.35753632,,,,N,N,N,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,24.0508194,24.21006012,0.225201741,,,,TRUE,0.612582629,TRUE,3,17,81.20819855,,,,N,N,N,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,23.9779644,23.90928841,0.09712252,,,,TRUE,0.612582629,TRUE,3,17,81.20574951,,,,N,N,N,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,24.95408058,24.5358181,0.591512501,,,,TRUE,0.612582629,TRUE,3,18,81.05638885,,,,N,Y,N,N,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,25.30861282,25.32336617,0.020864377,,,,TRUE,0.612582629,TRUE,3,18,81.0553894,,,,N,N,N,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,25.53832436,25.38150024,0.221781433,,,,TRUE,0.612582629,TRUE,3,18,80.90605164,,,,N,N,N,N,N,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,25.71280861,25.73910522,0.037189029,,,,TRUE,0.612582629,TRUE,3,19,81.05857086,,,,N,N,N,N,N,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,24.92770386,25.15863609,0.326587498,,,,TRUE,0.612582629,TRUE,3,17,81.05857086,,,,N,N,N,N,N,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,26.07052994,26.03534889,0.049753513,,,,TRUE,0.612582629,TRUE,3,19,80.90989685,,,,N,N,N,N,N,N,N
F12,Sample 12,C,UNKNOWN,SYBR,None,24.1976757,24.64317703,0.630034029,,,,TRUE,0.612582629,TRUE,3,17,81.05925751,,,,N,Y,N,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,25.5188179,25.32623291,0.27235496,,,,TRUE,0.104370708,TRUE,3,21,80.16397095,,,,N,N,N,N,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,34.72328568,34.6384964,0.119910143,,,,TRUE,0.104370708,TRUE,3,31,80.01463318,,,,N,N,N,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,34.90789795,34.90789795,,,,,TRUE,0.104370708,TRUE,3,31,80.16283417,,,,N,N,N,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,34.65126801,33.43664551,1.717735648,,,,TRUE,0.104370708,TRUE,3,31,80.16283417,,,,N,Y,N,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,34.60329819,34.48208618,0.171416968,,,,TRUE,0.104370708,TRUE,3,31,80.01089478,,,,N,N,N,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,37.09444046,37.09444046,,,,,TRUE,0.104370708,TRUE,3,33,79.86153412,,,,N,N,N,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.104370708,TRUE,3,39,61.19284058,,,,N,N,Y,N,N,Y,N
G8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.104370708,TRUE,3,39,61.34218216,,,,N,N,N,N,N,Y,N
G9,Sample 9,D,UNKNOWN,SYBR,None,33.19674301,33.17939758,0.024530141,,,,TRUE,0.104370708,TRUE,3,29,80.01317596,,,,N,N,N,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,33.77133942,33.80823517,0.052178472,,,,TRUE,0.104370708,TRUE,3,29,79.8638382,,,,N,N,N,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,28.08239555,28.0996666,0.024424942,,,,TRUE,0.104370708,TRUE,3,24,80.01371002,,,,N,N,N,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,27.732687,27.52620697,0.292005509,,,,TRUE,0.104370708,TRUE,3,23,80.01371002,,,,N,N,N,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,25.13364983,25.32623291,0.27235496,,,,TRUE,0.104370708,TRUE,3,21,80.31330872,,,,N,N,N,N,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,34.55370712,34.6384964,0.119910143,,,,TRUE,0.104370708,TRUE,3,31,80.16397095,,,,N,N,N,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,34.90789795,,,,,TRUE,0.104370708,TRUE,3,39,67.61849976,61.34633255,,,N,N,N,N,N,Y,Y
H4,Sample 4,D,UNKNOWN,SYBR,None,32.22202301,33.43664551,1.717735648,,,,TRUE,0.104370708,TRUE,3,28,80.16283417,,,,N,Y,N,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,34.36087799,34.48208618,0.171416968,,,,TRUE,0.104370708,TRUE,3,31,80.1602478,,,,N,N,N,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,37.09444046,,,,,TRUE,0.104370708,TRUE,3,39,61.04259491,,,,N,N,N,N,N,Y,N
H7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.104370708,TRUE,3,39,61.49152374,92.85344696,,,N,N,N,N,N,Y,Y
H8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.104370708,TRUE,3,39,61.19284058,,,,N,N,N,N,N,Y,N
H9,Sample 9,D,UNKNOWN,SYBR,None,33.16205215,33.17939758,0.024530141,,,,TRUE,0.104370708,TRUE,3,29,80.01317596,,,,N,N,N,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,33.84513092,33.80823517,0.052178472,,,,TRUE,0.104370708,TRUE,3,30,80.01317596,,,,N,N,N,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,28.11693764,28.0996666,0.024424942,,,,TRUE,0.104370708,TRUE,3,24,80.01371002,,,,N,N,N,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,27.31972885,27.52620697,0.292005509,,,,TRUE,0.104370708,TRUE,3,21,80.01371002,,,,N,N,N,N,N,N,N
