Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate39_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 14:02:53 PM PST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
F4,Sample 4,C,UNKNOWN,SYBR,None,24.54112816,24.49833679,0.060517479,,,,TRUE,0.175736197,TRUE,3,20,81.20974731,,,,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,24.56677055,23.89020157,0.956813037,,,,TRUE,0.175736197,TRUE,3,19,81.20595551,,,,Y,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,31.29802322,28.27194977,4.279515266,,,,TRUE,0.175736197,TRUE,3,26,81.20595551,,,,Y,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,26.57601166,23.51845741,4.324034691,,,,TRUE,0.175736197,TRUE,3,21,81.21154022,,,,Y,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,27.94234848,25.31503868,3.715577126,,,,TRUE,0.175736197,TRUE,3,22,81.21154022,,,,Y,N,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,22.08489609,21.94036865,0.204392657,,,,TRUE,0.175736197,TRUE,3,17,81.20994568,,,,N,N,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,22.21038437,22.23204803,0.030638399,,,,TRUE,0.175736197,TRUE,3,18,81.06060791,,,,N,N,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,32.40372467,32.13428497,0.381047964,,,,TRUE,0.175736197,TRUE,3,28,80.90666962,,,,N,N,N,N
F12,Sample 12,C,UNKNOWN,SYBR,None,21.95894623,22.20319366,0.345419377,,,,TRUE,0.175736197,TRUE,3,15,81.05601501,,,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,33.93556976,19.45583725,20.47743416,,,,TRUE,0.020087639,TRUE,3,33,80.01696014,,,,Y,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,73.14649963,79.71824646,,,N,N,Y,Y
G3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,61.7953949,68.06772614,79.86567688,,N,N,Y,Y
G4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,32,74.48939514,,,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,61.34328842,67.46636963,,,N,N,Y,Y
G6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,67.91439819,61.34328842,,,N,N,Y,Y
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,61.1943512,,,,N,N,Y,N
G8,Sample 8,D,UNKNOWN,SYBR,None,29.70331764,29.70331764,,,,,TRUE,0.020087639,TRUE,3,30,79.86709595,,,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,,,,,N,N,Y,N
G10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,82.25530243,,,,N,N,Y,N
G11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,61.3429718,67.01793671,,,N,N,Y,Y
G12,Sample 12,D,UNKNOWN,SYBR,None,25.90964508,25.90964508,,,,,TRUE,0.020087639,TRUE,3,13,70.45278931,,,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,4.976104259,19.45583725,20.47743416,,,,TRUE,0.020087639,TRUE,1,3,,,,,Y,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,,,,,N,N,Y,N
H3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,68.3664093,61.19802856,,,N,N,Y,Y
H4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,68.66508484,,,,N,N,Y,N
H5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,9,61.34328842,67.7650528,,,N,N,N,Y
H6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,60.89525986,,,,N,Y,Y,N
H7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,66.1239624,,,,N,Y,Y,N
H8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,29.70331764,,,,,TRUE,0.020087639,TRUE,3,39,,,,,N,N,Y,N
H9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,73.29508972,62.54282761,,,N,N,Y,Y
H10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,82.25530243,,,,N,N,Y,N
H11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.020087639,TRUE,3,39,61.19363022,,,,N,N,Y,N
H12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,25.90964508,,,,,TRUE,0.020087639,TRUE,3,39,82.54942322,92.70462799,,,N,N,Y,Y
