Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate89_4-4-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-04-05 01:14:21 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
G1,Sample 1,D,UNKNOWN,SYBR,None,24.56444168,24.08218002,0.682020962,,,,FALSE,0.1,TRUE,3,21,,N,Y,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,23.75211525,24.09499359,0.484901845,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,25.0934391,25.1051178,0.016517518,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,26.62693024,26.67469406,0.067549594,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,24.43894386,24.50919151,0.099345177,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,23.62356377,23.78477287,0.227984101,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,26.72399902,26.86061478,0.193203852,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
G9,Sample 9,D,UNKNOWN,SYBR,None,23.67572594,23.56593895,0.155262247,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,24.58827019,24.61613274,0.039403595,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,24.49409103,24.55775642,0.090036459,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,25.14449883,25.12191772,0.0319345,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,23.59991837,24.08218002,0.682020962,,,,FALSE,0.1,TRUE,3,20,,N,Y,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,24.43787003,24.09499359,0.484901845,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,25.1167984,25.1051178,0.016517518,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,26.72245979,26.67469406,0.067549594,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,24.57943916,24.50919151,0.099345177,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,23.94598198,23.78477287,0.227984101,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,26.99723053,26.86061478,0.193203852,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H9,Sample 9,D,UNKNOWN,SYBR,None,23.45615196,23.56593895,0.155262247,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,24.64399529,24.61613274,0.039403595,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,24.62142181,24.55775642,0.090036459,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,25.09933662,25.12191772,0.0319345,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
