Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate29_7-13-23.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-13 15:23:07 PM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
C6,Sample 6,B,UNKNOWN,SYBR,None,24.38750076,24.96930504,0.82279551,,,,FALSE,0.1,TRUE,3,21,,Y,N
C7,Sample 7,B,UNKNOWN,SYBR,None,28.44016457,28.52074242,0.113954291,,,,FALSE,0.1,TRUE,3,25,,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,29.68029404,30.01029587,0.466694415,,,,FALSE,0.1,TRUE,3,26,,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,24.55870247,24.38609314,0.244105101,,,,FALSE,0.1,TRUE,3,21,,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,37.37091446,37.7286911,0.505972564,,,,FALSE,0.1,TRUE,3,34,,Y,N
C11,Sample 11,B,UNKNOWN,SYBR,None,24.80291748,24.52080536,0.398965448,,,,FALSE,0.1,TRUE,3,21,,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,25.47011185,25.11742783,0.498769164,,,,FALSE,0.1,TRUE,3,22,,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,26.19033813,26.02753448,0.230239123,,,,FALSE,0.1,TRUE,3,22,,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,24.85725594,24.99390602,0.1932524,,,,FALSE,0.1,TRUE,3,21,,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,22.30394173,22.63224792,0.464295089,,,,FALSE,0.1,TRUE,3,19,,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,24.21400261,24.36513138,0.213727012,,,,FALSE,0.1,TRUE,3,21,,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,26.57114983,25.50598907,1.49,,,,FALSE,0.1,TRUE,3,23,,Y,N
D6,Sample 6,B,UNKNOWN,SYBR,None,25.55110931,24.96930504,0.82279551,,,,FALSE,0.1,TRUE,3,22,,Y,N
D7,Sample 7,B,UNKNOWN,SYBR,None,28.60132027,28.52074242,0.113954291,,,,FALSE,0.1,TRUE,3,25,,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,30.34029961,30.01029587,0.466694415,,,,FALSE,0.1,TRUE,3,27,,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,24.21348572,24.38609314,0.244105101,,,,FALSE,0.1,TRUE,3,21,,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,38.08646774,37.7286911,0.505972564,,,,FALSE,0.1,TRUE,3,35,,Y,N
D11,Sample 11,B,UNKNOWN,SYBR,None,24.23869514,24.52080536,0.398965448,,,,FALSE,0.1,TRUE,3,21,,N,N
D12,Sample 12,B,UNKNOWN,SYBR,None,24.76474571,25.11742783,0.498769164,,,,FALSE,0.1,TRUE,3,21,,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,38.18432617,37.67575455,0.719228864,,,,FALSE,0.1,TRUE,3,35,,Y,N
E2,Sample 2,C,UNKNOWN,SYBR,None,37.18107224,35.5456543,2.312827587,,,,FALSE,0.1,TRUE,3,33,,Y,N
E3,Sample 3,C,UNKNOWN,SYBR,None,34.19073868,33.86299896,0.463491261,,,,FALSE,0.1,TRUE,3,31,,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,36.7841301,36.50334167,0.397097498,,,,FALSE,0.1,TRUE,3,33,,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,34.88476563,34.24586105,0.903547525,,,,FALSE,0.1,TRUE,3,32,,Y,N
E6,Sample 6,C,UNKNOWN,SYBR,None,37.19974136,36.18735504,1.431727767,,,,FALSE,0.1,TRUE,3,34,,Y,N
E7,Sample 7,C,UNKNOWN,SYBR,None,34.35460663,33.49300385,1.218492985,,,,FALSE,0.1,TRUE,3,30,,Y,N
E8,Sample 8,C,UNKNOWN,SYBR,None,34.51494598,34.51494598,,,,,FALSE,0.1,TRUE,3,31,,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,36.76453018,36.71422577,0.071138486,,,,FALSE,0.1,TRUE,3,34,,N,N
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,30.90497971,34.36616898,4.894860744,,,,FALSE,0.1,TRUE,3,28,,Y,N
E12,Sample 12,C,UNKNOWN,SYBR,None,30.33412933,30.80968094,0.672532856,,,,FALSE,0.1,TRUE,3,26,,Y,N
F1,Sample 1,C,UNKNOWN,SYBR,None,37.16718292,37.67575455,0.719228864,,,,FALSE,0.1,TRUE,3,33,,Y,N
F2,Sample 2,C,UNKNOWN,SYBR,None,33.91024017,35.5456543,2.312827587,,,,FALSE,0.1,TRUE,3,30,,Y,N
F3,Sample 3,C,UNKNOWN,SYBR,None,33.53526306,33.86299896,0.463491261,,,,FALSE,0.1,TRUE,3,30,,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,36.22254944,36.50334167,0.397097498,,,,FALSE,0.1,TRUE,3,32,,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,33.60695648,34.24586105,0.903547525,,,,FALSE,0.1,TRUE,3,30,,Y,N
F6,Sample 6,C,UNKNOWN,SYBR,None,35.17497253,36.18735504,1.431727767,,,,FALSE,0.1,TRUE,3,32,,Y,N
F7,Sample 7,C,UNKNOWN,SYBR,None,32.63139725,33.49300385,1.218492985,,,,FALSE,0.1,TRUE,3,29,,Y,N
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,34.51494598,,,,,FALSE,0.1,TRUE,3,39,,N,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,36.66392517,36.71422577,0.071138486,,,,FALSE,0.1,TRUE,3,34,,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,37.82735825,34.36616898,4.894860744,,,,FALSE,0.1,TRUE,3,34,,Y,N
F12,Sample 12,C,UNKNOWN,SYBR,None,31.28523445,30.80968094,0.672532856,,,,FALSE,0.1,TRUE,3,27,,Y,N
G1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,33.78804398,,,,,FALSE,0.1,TRUE,3,39,,N,Y
G2,Sample 2,D,UNKNOWN,SYBR,None,28.63233376,28.65270233,0.028805517,,,,FALSE,0.1,TRUE,3,25,,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,29.17257881,29.5782814,0.573748767,,,,FALSE,0.1,TRUE,3,26,,Y,N
G4,Sample 4,D,UNKNOWN,SYBR,None,32.75988007,33.31254578,0.781587362,,,,FALSE,0.1,TRUE,3,29,,Y,N
G5,Sample 5,D,UNKNOWN,SYBR,None,25.59062386,25.85897636,0.37950775,,,,FALSE,0.1,TRUE,3,22,,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,30.9496212,31.42391205,0.670748532,,,,FALSE,0.1,TRUE,3,27,,Y,N
G7,Sample 7,D,UNKNOWN,SYBR,None,30.83545494,31.53903961,0.995017648,,,,FALSE,0.1,TRUE,3,27,,Y,N
G8,Sample 8,D,UNKNOWN,SYBR,None,21.59174538,21.70858002,0.165229127,,,,FALSE,0.1,TRUE,3,18,,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,29.71831894,30.05718994,0.479235977,,,,FALSE,0.1,TRUE,3,26,,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,21.23342896,21.43831253,0.289749146,,,,FALSE,0.1,TRUE,3,18,,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
G12,Sample 12,D,UNKNOWN,SYBR,None,39.56633759,39.56633759,,,,,FALSE,0.1,TRUE,3,35,,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,33.78804398,33.78804398,,,,,FALSE,0.1,TRUE,3,30,,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,28.67307091,28.65270233,0.028805517,,,,FALSE,0.1,TRUE,3,25,,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,29.98398209,29.5782814,0.573748767,,,,FALSE,0.1,TRUE,3,27,,Y,N
H4,Sample 4,D,UNKNOWN,SYBR,None,33.86521149,33.31254578,0.781587362,,,,FALSE,0.1,TRUE,3,30,,Y,N
H5,Sample 5,D,UNKNOWN,SYBR,None,26.12732887,25.85897636,0.37950775,,,,FALSE,0.1,TRUE,3,23,,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,31.8982029,31.42391205,0.670748532,,,,FALSE,0.1,TRUE,3,29,,Y,N
H7,Sample 7,D,UNKNOWN,SYBR,None,32.24262238,31.53903961,0.995017648,,,,FALSE,0.1,TRUE,3,28,,Y,N
H8,Sample 8,D,UNKNOWN,SYBR,None,21.82541466,21.70858002,0.165229127,,,,FALSE,0.1,TRUE,3,18,,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,30.39606094,30.05718994,0.479235977,,,,FALSE,0.1,TRUE,3,27,,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,21.64319611,21.43831253,0.289749146,,,,FALSE,0.1,TRUE,3,18,,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
H12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,39.56633759,,,,,FALSE,0.1,TRUE,3,39,,N,Y
