Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 17:22:23 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
F4,Sample 10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
F5,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,26.83428764,26.58177567,0.357105851,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
F6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.29893875,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,Y,Y
F6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.174224667,TRUE,3,39,,N,N,Y,Y
F7,Sample 11,A,UNKNOWN,FAM,NFQ-MGB,36.926548,36.4930191,0.613099754,,,,FALSE,0.01,TRUE,3,33,,N,Y,Y,N
F8,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,26.63513565,26.56237793,0.102893606,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
F9,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,34.45833588,34.55860519,0.141802222,,,,TRUE,0.018342163,TRUE,3,32,,N,Y,N,N
F9,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,35.92077255,36.42599106,0.714486837,,,,TRUE,0.174224667,TRUE,3,31,,N,Y,N,N
F10,Sample 11,A,UNKNOWN,FAM,NFQ-MGB,36.05949402,36.4930191,0.613099754,,,,FALSE,0.01,TRUE,3,33,,N,Y,N,N
F11,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,26.48962212,26.56237793,0.102893606,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
F12,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,34.65887451,34.55860519,0.141802222,,,,TRUE,0.018342163,TRUE,3,32,,N,Y,N,N
F12,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,36.93120956,36.42599106,0.714486837,,,,TRUE,0.174224667,TRUE,3,32,,N,Y,N,N
G1,Sample 12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
G2,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.04097748,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
G3,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,Y
G3,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,25.84571266,25.8482399,0.003574053,,,,TRUE,0.174224667,TRUE,3,21,,N,N,N,Y
G4,Sample 12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
