Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate7_7-3-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-03 16:22:41 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,BADROX,HIGHSD,EXPFAIL,,,
E10,Sample 10,C,UNKNOWN,SYBR,None,25.89339638,25.89339638,,,,,TRUE,0.033606477,TRUE,3,26,,N,N,N,N,,,
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,39.59503937,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,32,,N,N,N,N,,,
F3,Sample 3,C,UNKNOWN,SYBR,None,14.94155693,14.94155693,,,,,TRUE,0.033606477,TRUE,3,12,,N,N,N,N,,,
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F5,Sample 5,C,UNKNOWN,SYBR,None,17.91785812,17.91785812,,,,,TRUE,0.033606477,TRUE,3,15,,N,N,N,N,,,
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F8,Sample 8,C,UNKNOWN,SYBR,None,16.96919632,16.96919632,,,,,TRUE,0.033606477,TRUE,3,15,,N,N,N,N,,,
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,25.89339638,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
F12,Sample 12,C,UNKNOWN,SYBR,None,39.59503937,39.59503937,,,,,FALSE,0.1,TRUE,3,35,81.8067627,61.19838715,68.51585388,,N,N,N,Y
G1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,26.04395866,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
